#,url,title,year,resource type,company
1,https://www.youtube.com/watch?v=spamOhG7BOA&t=12s,Building LLM applications for production,2023,blog/article,n/a
2,https://eugeneyan.com/writing/llm-patterns/,Design Patterns for LLM Systems & Products,2023,blog/article,n/a
3,https://www.youtube.com/watch?v=JtQMHdhiwxg,The Confidence Checklist for LLMs in Production,2023,conference/video,portkey.ai
4,https://www.youtube.com/watch?v=-bmynyCJVBg,Emerging Patterns for LLMs in Production,2023,conference/video,in-stealth
5,https://medium.com/@_aigeek/best-practices-for-deploying-large-language-models-llms-in-production-fdc5bf240d6a,Best Practices for Deploying Large Language Models (LLMs) in Production,2023,blog/article,n/a
6,https://aws.amazon.com/blogs/machine-learning/fmops-llmops-operationalize-generative-ai-and-differences-with-mlops/,FMOps/LLMOps: Operationalize generative AI and differences with MLOps,2023,blog/article,amazon
7,https://a16z.com/emerging-architectures-for-llm-applications/,Emerging Architectures for LLM Applications,2023,blog/article,a16z
8,"https://arxiv.org/abs/2302.04844
https://www.youtube.com/watch?v=8_-QTw8ugas",[2302.04844] The Gradient of Generative AI Release,2023,paper,huggingface
9,https://arize.com/blog-course/large-language-model-llm-deployment/,Best Practices for Large Language Model (LLM) Deployment,2023,blog/article,arize
10,https://arize.com/blog-course/llmops-operationalizing-llms-at-scale/,A Developer’s Guide To LLMOps (Large Language Model Operations): Operationalizing LLMs,2023,blog/article,arize
11,https://arize.com/blog-course/traces-spans-large-language-model-orchestration/,"LLM Observability: One Small Step for Spans, One Giant Leap for Span-Kinds",2023,blog/article,arize
12,https://arize.com/blog-course/assessing-large-language-models/,LLM Evaluation: Assessing Large Language Models Using Their Peers,2023,blog/article,arize
13,https://arize.com/blog-course/guardrails-what-are-they-and-how-can-you-use-nemo-and-guardrails-ai-to-safeguard-llms/,Guardrails: What Are They and How Can You Use NeMo and Guardrails AI To Safeguard LLMs?,2023,blog/article,arize
14,https://arize.com/blog-course/introduction-to-retrieval-augmented-generation/,Introduction To Retrieval Augmented Generation,2023,blog/article,arize
